t,Sz_0,Sz_1,Sz_2,Sz_3,Sz_4,Sz_5,Sz_6,Sz_7,Sz_8,Sz_9,Sz_10,Sz_11,Sz_12,Sz_13,Sz_14,Sz_15,Sz_16,Sz_17,Sz_18,Sz_19
0.000,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
0.050,9.950208e-01,9.900664e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900664e-01,9.950208e-01
0.100,9.803303e-01,9.610533e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610533e-01,9.803303e-01
0.150,9.566526e-01,9.152504e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152504e-01,9.566526e-01
0.200,9.251391e-01,8.562375e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.562375e-01,9.251391e-01
0.250,8.872893e-01,7.885552e-01,7.883627e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883627e-01,7.885552e-01,8.872893e-01
0.300,8.448503e-01,7.172912e-01,7.167444e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167444e-01,7.172912e-01,8.448503e-01
0.350,7.997018e-01,6.476235e-01,6.463260e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463260e-01,6.476235e-01,7.997018e-01
0.400,7.537360e-01,5.843654e-01,5.816733e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816733e-01,5.843654e-01,7.537360e-01
0.450,7.087427e-01,5.315568e-01,5.265282e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265282e-01,5.315568e-01,7.087427e-01
0.500,6.663066e-01,4.921402e-01,4.835152e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.835152e-01,4.921402e-01,6.663066e-01
0.550,6.277261e-01,4.677498e-01,4.539767e-01,4.539153e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539153e-01,4.539767e-01,4.677498e-01,6.277261e-01
0.600,5.939569e-01,4.586327e-01,4.379492e-01,4.378133e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378133e-01,4.379492e-01,4.586327e-01,5.939569e-01
